Motor 1,Motor 2,Motor 3,X,Y,Z
1,8,1,-16.287,-9.403,-279.367
1,8,2,-14.003,-10.76,-280.037
1,8,3,-11.704,-12.123,-280.684
1,8,4,-9.392,-13.493,-281.307
1,8,5,-7.065,-14.869,-281.905
2,8,0,-18.594,-5.4,-279.329
2,8,1,-16.32,-6.747,-280.037
2,8,2,-14.031,-8.101,-280.722
2,8,3,-11.728,-9.462,-281.384
2,8,4,-9.411,-10.83,-282.021
2,8,5,-7.079,-12.204,-282.634
3,8,0,-18.63,-2.731,-279.961
3,8,1,-16.351,-4.075,-280.684
3,8,2,-14.058,-5.426,-281.384
3,8,3,-11.751,-6.784,-282.060
3,8,4,-9.429,-8.15,-282.712
3,8,5,-7.093,-9.522,-283.339
4,8,0,-18.664,-0.046,-280.569
4,8,1,-16.381,-1.387,-281.307
4,8,2,-14.084,-2.735,-282.021
4,8,3,-11.772,-4.091,-282.712
4,8,4,-9.446,-5.454,-283.379
4,8,5,-7.106,-6.824,-284.021
5,8,0,-18.696,2.654,-281.152
5,8,1,-16.41,1.317,-281.905
5,8,2,-14.109,-0.028,-282.634
5,8,3,-11.793,-1.381,-283.339
5,8,4,-9.463,-2.742,-284.021
5,8,5,-7.118,-4.11,-284.678
0,0,8,18.518,-10.691,-277.995
0,1,8,16.253,-12.044,-278.673
0,2,8,13.974,-13.403,-279.329
0,3,8,11.68,-14.768,-279.961
0,4,8,9.372,-16.14,-280.569
0,5,8,7.05,-17.518,-281.152
1,0,8,18.557,-8.054,-278.673
1,1,8,16.287,-9.403,-279.367
1,2,8,14.003,-10.76,-280.037
1,3,8,11.704,-12.123,-280.684
1,4,8,9.392,-13.493,-281.307
1,5,8,7.065,-14.869,-281.905
2,0,8,18.594,-5.4,-279.329
2,1,8,16.32,-6.747,-280.037
2,2,8,14.031,-8.101,-280.722
2,3,8,11.728,-9.462,-281.384
2,4,8,9.411,-10.83,-282.021
2,5,8,7.079,-12.204,-282.634
3,0,8,18.63,-2.731,-279.961
3,1,8,16.351,-4.075,-280.684
3,2,8,14.058,-5.426,-281.384
3,3,8,11.751,-6.784,-282.060
3,4,8,9.429,-8.15,-282.712
3,5,8,7.093,-9.522,-283.339
4,0,8,18.664,-0.046,-280.569
4,1,8,16.381,-1.387,-281.307
4,2,8,14.084,-2.735,-282.021
4,3,8,11.772,-4.091,-282.712
4,4,8,9.446,-5.454,-283.379
4,5,8,7.106,-6.824,-284.021
5,0,8,18.696,2.654,-281.152
5,1,8,16.41,1.317,-281.905
5,2,8,14.109,-0.028,-282.634
5,3,8,11.793,-1.381,-283.339
5,4,8,9.463,-2.742,-284.021
5,5,8,7.118,-4.11,-284.678
9,0,0,0,24.118,-278.370
9,0,1,2.307,22.837,-279.062
9,0,2,4.627,21.546,-279.731
9,0,3,6.959,20.245,-280.377
9,0,4,9.304,18.936,-280.998
9,0,5,11.662,17.617,-281.595
9,1,0,-2.307,22.837,-279.062
9,1,1,0,21.55,-279.770
9,1,2,2.32,20.254,-280.453
9,1,3,4.653,18.948,-281.114
9,1,4,6.999,17.633,-281.750
9,1,5,9.358,16.309,-282.362
9,2,0,-4.627,21.546,-279.731
9,2,1,-2.32,20.254,-280.453
9,2,2,0,18.952,-281.152
9,2,3,2.333,17.642,-281.827
9,2,4,4.68,16.322,-282.478
9,2,5,7.039,14.993,-283.105
9,3,0,-6.959,20.245,-280.377
9,3,1,-4.653,18.948,-281.114
9,3,2,-2.333,17.642,-281.827
9,3,3,0,16.326,-282.517
9,3,4,2.347,15.001,-283.183
9,3,5,4.707,13.667,-283.825
9,4,0,-9.304,18.936,-280.998
9,4,1,-6.999,17.633,-281.750
9,4,2,-4.68,16.322,-282.478
9,4,3,-2.347,15.001,-283.183
9,4,4,0,13.671,-283.864
9,4,5,2.36,12.333,-284.520
9,5,0,-11.662,17.617,-281.595
